id,modules_composition
G329_319_328,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B884|B1341|B1394|B1362|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B605|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B606|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1390|B630|B1637|B1409|B433
G340_338_339,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1359|B1312|B519|B1474|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1390|B630|B1637|B1409|B433
G361_359_360,B146|B194|B165|B50|B340|B187|B144|B178|B186|B190|B233|B157|B148|B341|B62|B75
NP509318.1_6239_362,B50|B187|B186|B233|B62
G378_376_377,B218|B245|B259|B50|B222|B213|B250|B229|B231|B144|B178|B211|B220|B232|B261|B249|B253|B254|B263|B233|B157|B225|B257|B62|B227
G381_379_380,B245|B377|B259|B50|B222|B250|B229|B144|B178|B211|B232|B261|B249|B233|B157|B225|B257|B62|B227
G387_385_386,B70|B375|B50|B371|B112|B69|B82|B90|B88|B78|B12|B344|B374|B39|B62|B75|B77
G422_388_421,B70|B85|B50|B112|B58|B69|B82|B113|B90|B88|B78|B12|B21|B338|B39|B62|B94|B75|B77
G190_166_189,B1796|B904|B499|B657|B687|B608|B50|B477|B1992|B882|B710|B1068|B1725|B510|B884|B563|B1283|B1765|B442|B519|B560|B522|B527|B605|B491|B1282|B467|B1279|B647|B444|B606|B1865|B645|B497|B1845|B557|B509|B12|B658|B21|B479|B456|B476|B1859|B583|B1860|B686|B585|B436|B630|B692|B433|B547|B1967|B919
G211_201_210,B561|B1512|B1226|B1940|B499|B657|B687|B50|B1992|B882|B1242|B710|B1208|B1725|B1938|B510|B884|B563|B1514|B1239|B442|B519|B560|B522|B1233|B527|B491|B1216|B467|B647|B444|B1523|B1865|B645|B557|B1539|B509|B12|B658|B456|B1224|B1220|B686|B1215|B585|B1228|B1513|B630
G253_239_252,B1732|B657|B608|B1384|B710|B1068|B510|B884|B1283|B1765|B519|B560|B1766|B522|B527|B605|B647|B645|B557|B509|B658|B1859|B2175|B583|B1860|B585|B630|B692|B547|B919
G292_276_291,B561|B1796|B1732|B904|B657|B687|B608|B710|B510|B884|B563|B1283|B1765|B519|B1766|B522|B527|B605|B1282|B1279|B647|B606|B645|B1845|B557|B658|B1859|B583|B1860|B585|B2023|B630|B547|B919
G301_299_300,B561|B1151|B499|B1147|B1186|B1188|B50|B1152|B1200|B477|B1156|B1168|B1126|B882|B1130|B1148|B1170|B1139|B510|B884|B1754|B563|B1177|B1283|B1770|B1768|B1765|B1205|B519|B1149|B560|B1766|B1195|B522|B527|B491|B1282|B1133|B1978|B1198|B1279|B444|B1845|B509|B479|B456|B1125|B476|B1899|B1174|B2024|B1127|B1145|B1155|B630|B1194|B1755|B1176|B1137|B1172
XP031747422.1_8364_302,B561|B1151|B499|B1186|B1188|B50|B1152|B1200|B477|B1156|B1168|B1126|B882|B1130|B1148|B1139|B510|B884|B1754|B563|B1177|B1770|B1205|B519|B1149|B560|B1195|B522|B527|B491|B1133|B1978|B444|B509|B479|B456|B1125|B476|B1174|B2024|B1127|B1145|B1155|B1980|B630|B1194|B1755|B1176|B1137
XP002663267.4_7955_304,B561|B1976|B904|B1989|B499|B1970|B1972|B1986|B1147|B1188|B50|B1152|B477|B1979|B1126|B882|B1130|B1148|B1983|B1139|B510|B1754|B1969|B563|B1984|B1205|B519|B1981|B560|B1987|B522|B527|B491|B1133|B1978|B444|B509|B456|B476|B1899|B1127|B1145|B1975|B1980|B630|B1194|B1974|B1137
XP021327811.1_7955_305,B561|B1976|B904|B1989|B499|B1970|B1972|B1986|B1147|B1188|B50|B1152|B477|B1979|B1126|B882|B1130|B1148|B1983|B1139|B510|B1754|B1969|B563|B1984|B1205|B519|B1981|B560|B1987|B522|B527|B491|B1133|B1978|B444|B509|B456|B476|B1899|B1127|B1145|B1975|B1980|B630|B1194|B1974|B1137
G319_317_318,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1804|B882|B1407|B1415|B1351|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1413|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1368|B1390|B630|B1409|B433|B1344
G328_326_327,B561|B1404|B1340|B1378|B1350|B1377|B1644|B499|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B884|B563|B1341|B1394|B1359|B1312|B519|B1636|B1631|B560|B1381|B522|B527|B1373|B605|B491|B1379|B1371|B1349|B467|B444|B1406|B1403|B606|B1632|B1383|B509|B21|B456|B1374|B1483|B431|B1390|B1835|B630|B1637|B1409|B433
G338_336_337,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1359|B1312|B519|B1474|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1390|B630|B1637|B1409|B433
XP017214092.1_7955_339,B561|B1404|B1340|B1378|B1391|B1377|B499|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1359|B1312|B519|B1474|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B1383|B509|B21|B456|B1374|B1483|B431|B1390|B630|B1409|B433
G359_357_358,B146|B194|B165|B50|B340|B187|B144|B174|B178|B186|B171|B190|B181|B164|B157|B148|B341|B62|B75|B193
NP733334.1_7227_360,B146|B194|B165|B50|B340|B144|B178|B190|B233|B157|B148|B341|B62|B75
G376_372_375,B218|B245|B259|B217|B214|B50|B222|B213|B250|B229|B231|B144|B178|B211|B255|B220|B232|B210|B264|B261|B249|B253|B254|B263|B233|B252|B215|B157|B225|B212|B257|B242|B223|B62|B227
XP002127224.2_7719_377,B218|B259|B50|B213|B250|B229|B231|B144|B178|B220|B232|B261|B249|B253|B254|B263|B233|B157|B225|B257|B62|B227
NP492377.1_6239_379,B245|B377|B259|B50|B222|B250|B229|B178|B232|B261|B249|B233|B157|B225|B257|B62
NP477187.1_7227_380,B245|B377|B259|B50|B229|B144|B178|B211|B232|B261|B249|B233|B157|B225|B257|B62|B227
NP510291.1_6239_385,B70|B375|B50|B371|B112|B69|B82|B90|B88|B374|B62|B75|B77
NP001027575.1_7227_386,B70|B375|B50|B371|B112|B69|B82|B78|B12|B344|B374|B39|B62|B75|B77
XP002129509.1_7719_388,B70|B85|B50|B112|B58|B69|B82|B113|B90|B88|B78|B12|B338|B62|B94|B77
G421_403_420,B41|B70|B85|B50|B112|B58|B69|B82|B113|B90|B88|B5|B78|B12|B21|B39|B62|B94|B75|B77
G166_138_165,B1796|B904|B499|B657|B687|B608|B50|B477|B1992|B1720|B882|B710|B510|B884|B563|B1283|B1765|B442|B519|B560|B1766|B522|B527|B605|B491|B1282|B467|B1279|B647|B444|B606|B1865|B645|B497|B1845|B557|B509|B12|B658|B480|B21|B479|B456|B476|B1859|B583|B1860|B686|B585|B436|B630|B692|B762|B433|B547|B1967|B919
G189_187_188,B561|B904|B499|B657|B687|B1090|B608|B50|B477|B882|B710|B1068|B1725|B510|B884|B563|B1283|B442|B519|B560|B522|B527|B605|B491|B467|B1279|B647|B1067|B444|B606|B645|B497|B1030|B1845|B557|B509|B12|B658|B21|B479|B456|B476|B583|B431|B686|B585|B1062|B436|B630|B692|B433|B547|B1967|B919
G201_199_200,B561|B1512|B1226|B1940|B499|B657|B687|B50|B1992|B882|B1242|B710|B1208|B1938|B510|B884|B563|B1908|B1786|B1514|B1239|B1789|B442|B1312|B519|B560|B522|B1233|B527|B491|B1216|B467|B1212|B647|B444|B1787|B1523|B1315|B1865|B645|B557|B1539|B509|B12|B658|B456|B1909|B583|B431|B1224|B1220|B686|B1215|B585|B1228|B1513|B630
G210_208_209,B561|B1512|B1226|B1940|B499|B657|B687|B1502|B1519|B50|B882|B1242|B710|B1208|B1725|B1938|B510|B884|B563|B1532|B1514|B1239|B442|B519|B560|B2027|B522|B1233|B527|B491|B1216|B467|B1533|B647|B444|B1523|B645|B557|B1539|B509|B1538|B12|B658|B456|B583|B431|B1224|B1220|B686|B1215|B1524|B585|B1228|B1528|B1513|B630|B1529
G239_237_238,B1732|B657|B608|B710|B1068|B510|B884|B1283|B522|B527|B605|B1282|B2165|B647|B645|B557|B509|B658|B2175|B583|B585|B630|B692|B547
G252_250_251,B561|B2247|B657|B1384|B2235|B882|B2239|B1068|B2469|B510|B884|B563|B1765|B519|B560|B1766|B2321|B522|B527|B647|B645|B557|B509|B658|B2387|B1859|B2175|B583|B1860|B585|B630|B781|B547|B919
G276_274_275,B561|B1796|B1732|B904|B657|B687|B608|B894|B882|B893|B710|B510|B884|B563|B1283|B1765|B519|B560|B1766|B522|B527|B605|B1282|B1848|B1279|B647|B606|B645|B1845|B557|B509|B658|B1859|B1860|B686|B1731|B2023|B2111|B630|B919
G291_289_290,B561|B2390|B2376|B510|B563|B2389|B1852|B519|B560|B522|B527|B557|B509|B1851|B583|B585|B781|B547
G299_297_298,B561|B1191|B1180|B1151|B499|B1147|B1186|B1188|B50|B1152|B1200|B477|B1156|B1168|B1126|B1206|B882|B1130|B1148|B1170|B1139|B510|B1159|B884|B563|B1177|B1283|B1770|B1768|B1190|B1205|B519|B1149|B560|B1195|B522|B527|B1204|B491|B1282|B1133|B1978|B1198|B1181|B1279|B1197|B444|B1845|B1199|B509|B456|B1125|B476|B1899|B2024|B1127|B1145|B1155|B1900|B1897|B630|B1194|B1176|B1137|B1172
XP040505337.1_9031_300,B561|B1151|B499|B1147|B1188|B50|B1152|B1200|B477|B1156|B1126|B1130|B1148|B1170|B1139|B510|B1754|B563|B1177|B1770|B1768|B1765|B1205|B519|B1149|B560|B1766|B1195|B522|B527|B491|B1133|B1198|B444|B509|B479|B456|B1125|B476|B1174|B1127|B1145|B1155|B630|B1194|B1755|B1176|B1137|B1172
G317_315_316,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1804|B882|B1407|B1415|B1351|B1399|B1068|B510|B884|B1486|B563|B1341|B1394|B1362|B1413|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1368|B1390|B1354|B630|B1409|B433|B1344
XP021331662.1_7955_318,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B1360|B1384|B50|B1380|B1804|B882|B1407|B1415|B1351|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1413|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B1383|B509|B21|B456|B1374|B1483|B431|B1368|B1390|B630|B1409|B433|B1344
G326_324_325,B561|B1404|B1340|B1378|B1350|B1641|B1377|B1644|B499|B1360|B1384|B50|B1380|B1492|B882|B1638|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1626|B1394|B1359|B1312|B519|B1636|B1631|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B444|B1406|B1403|B1632|B1383|B509|B21|B456|B1374|B1643|B1483|B431|B1390|B1835|B630|B1637|B1409|B433
XP012815203.2_8364_327,B561|B1340|B1378|B1350|B1377|B1644|B499|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B510|B563|B1341|B1394|B1359|B519|B1636|B1631|B560|B1381|B522|B527|B1373|B605|B491|B1379|B1371|B1349|B467|B444|B1406|B1403|B606|B1632|B1383|B509|B21|B456|B1374|B1483|B431|B1390|B1835|B630|B1637|B1409|B433
G336_334_335,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B1480|B510|B884|B563|B1341|B1394|B1362|B1359|B1312|B519|B1474|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1390|B630|B1637|B1409|B433
XP031762102.1_8364_337,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1359|B1312|B519|B1474|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B1383|B509|B21|B456|B1374|B1483|B431|B1390|B630|B1637|B1409|B433
G357_353_356,B146|B152|B194|B165|B197|B50|B187|B144|B132|B189|B174|B155|B178|B186|B171|B172|B190|B138|B181|B164|B195|B137|B157|B196|B148|B205|B62|B143|B75|B193|B180|B170
XP002122475.1_7719_358,B194|B165|B50|B340|B144|B174|B178|B171|B190|B181|B164|B157|B148|B341|B193
G372_370_371,B218|B245|B259|B217|B214|B50|B222|B213|B250|B229|B231|B144|B265|B178|B211|B255|B220|B232|B210|B264|B261|B249|B253|B254|B263|B233|B252|B215|B157|B225|B212|B257|B242|B223|B62|B209|B227
G375_373_374,B218|B245|B259|B217|B214|B50|B222|B213|B250|B229|B231|B144|B178|B211|B255|B220|B232|B210|B264|B261|B249|B253|B254|B263|B233|B252|B215|B157|B225|B212|B257|B242|B223|B62|B227
G403_401_402,B41|B287|B70|B85|B301|B50|B112|B294|B306|B58|B69|B369|B82|B113|B293|B88|B5|B284|B78|B12|B21|B313|B39|B62|B94|B75|B77
G420_406_419,B41|B70|B85|B50|B112|B9|B58|B69|B56|B36|B82|B113|B90|B88|B5|B78|B6|B12|B21|B44|B39|B62|B94|B75|B77
G138_98_137,B561|B1796|B904|B499|B657|B687|B608|B50|B477|B1992|B1720|B882|B710|B510|B884|B563|B1283|B442|B519|B560|B1766|B522|B527|B605|B491|B1282|B467|B1279|B647|B444|B606|B1865|B645|B497|B1845|B557|B509|B12|B658|B480|B479|B456|B476|B583|B686|B585|B436|B630|B692|B762|B433|B547|B919
G165_163_164,B561|B1796|B499|B657|B687|B50|B477|B1720|B882|B710|B510|B884|B563|B1765|B442|B519|B560|B1766|B522|B527|B605|B491|B1282|B467|B1279|B647|B444|B606|B645|B557|B509|B12|B658|B480|B21|B479|B456|B476|B1859|B431|B1860|B686|B585|B436|B630|B692|B762|B433|B547|B1967|B919
G187_177_186,B561|B1044|B904|B499|B657|B1035|B687|B1090|B608|B50|B1007|B477|B1027|B882|B594|B1115|B592|B710|B1068|B1725|B510|B884|B563|B1283|B442|B519|B560|B522|B527|B1036|B605|B491|B1033|B467|B1031|B1063|B1279|B647|B1067|B444|B606|B645|B497|B1030|B1845|B557|B509|B1106|B12|B658|B21|B479|B456|B476|B583|B431|B1043|B686|B585|B1062|B1022|B436|B630|B692|B1045|B433|B547|B1967|B919
XP018673460.1_7719_188,B561|B499|B657|B1090|B50|B882|B1068|B510|B884|B563|B442|B519|B560|B522|B527|B491|B467|B647|B1067|B444|B645|B497|B1030|B557|B509|B658|B21|B456|B476|B431|B1062|B630|B433|B547
G199_197_198,B561|B1512|B1226|B1940|B499|B657|B687|B50|B882|B1781|B1242|B710|B1208|B510|B884|B563|B1908|B1786|B1514|B1239|B1789|B442|B519|B560|B522|B1233|B527|B491|B1216|B467|B1212|B647|B444|B1787|B1523|B645|B557|B1539|B509|B12|B658|B456|B1909|B583|B431|B1224|B1220|B686|B1215|B1228|B1513|B630
XP021333385.1_7955_200,B561|B1512|B1226|B499|B50|B1992|B1242|B710|B1208|B1938|B510|B563|B1908|B1786|B1789|B442|B1312|B519|B560|B522|B527|B491|B1216|B467|B1212|B444|B1787|B1523|B1315|B1865|B557|B509|B12|B456|B1909|B583|B431|B1224|B1220|B1215|B585|B1228|B1513|B630
G208_206_207,B561|B1512|B1527|B1226|B1940|B499|B657|B1525|B687|B1502|B1519|B50|B882|B1242|B710|B1208|B1725|B1938|B510|B884|B563|B1532|B1514|B1239|B442|B519|B560|B2027|B522|B1233|B527|B491|B1216|B467|B1533|B647|B444|B1523|B1509|B645|B1501|B557|B1539|B509|B1538|B12|B658|B1508|B456|B583|B431|B1224|B1220|B686|B1215|B1524|B585|B1228|B1528|B1513|B630|B1503|B1529
XP031748801.1_8364_209,B561|B1512|B1226|B499|B657|B687|B1502|B1519|B50|B1242|B1208|B510|B563|B1532|B1514|B1239|B442|B519|B560|B522|B1233|B527|B491|B1216|B467|B1533|B647|B444|B1523|B645|B557|B1539|B509|B1538|B12|B658|B456|B583|B431|B1224|B1220|B686|B1215|B1524|B585|B1228|B1528|B1513|B630|B1529
G237_235_236,B1732|B657|B608|B882|B594|B710|B1068|B510|B884|B563|B527|B605|B2165|B647|B606|B645|B557|B509|B658|B2175|B583|B585|B630|B692|B547
NP609406.2_7227_238,B1732|B1068|B510|B1283|B522|B527|B605|B1282|B2165|B509|B2175|B630|B692|B547
G250_248_249,B561|B657|B2323|B1384|B1738|B882|B1068|B510|B884|B563|B1765|B2314|B519|B1863|B2316|B2317|B2294|B560|B1766|B2296|B2321|B2298|B522|B527|B2320|B647|B645|B2324|B509|B658|B1859|B2175|B583|B1995|B1860|B585|B2295|B2297|B630|B2318|B1176|B2322|B919
NP505017.1_6239_251,B561|B2247|B657|B2235|B882|B2239|B1068|B2469|B510|B884|B563|B560|B2321|B527|B647|B645|B557|B509|B658|B2387|B1859|B2175|B630|B781|B547
G274_264_273,B561|B1796|B2334|B2055|B1732|B904|B657|B2092|B687|B2048|B608|B2049|B894|B2330|B1156|B2056|B2119|B882|B893|B2338|B710|B2343|B510|B884|B2332|B563|B1283|B987|B1765|B1312|B2442|B519|B1863|B2063|B2047|B2335|B2052|B560|B1766|B2058|B2337|B522|B527|B605|B1282|B2061|B1848|B1279|B647|B2331|B606|B1315|B645|B1845|B557|B509|B658|B2093|B1728|B2328|B1859|B1860|B686|B1731|B2023|B2111|B2067|B630|B2068|B2339|B2118|B919
XP026689948.1_7719_275,B561|B904|B657|B687|B882|B510|B884|B563|B1283|B519|B560|B522|B527|B1282|B1279|B557|B509|B658|B686|B2111|B630
G289_285_288,B561|B2390|B2376|B594|B592|B510|B563|B2389|B2472|B2375|B1852|B519|B560|B2471|B522|B527|B2468|B2467|B557|B509|B583|B585|B2289|B781|B547
XP018667203.1_7719_290,B561|B2390|B2376|B510|B563|B2389|B1852|B560|B522|B527|B557|B509|B1851|B583|B585|B781|B547
G297_295_296,B561|B1191|B1180|B1160|B1151|B499|B1147|B1186|B1188|B1167|B50|B1152|B1200|B477|B1156|B1168|B1126|B1206|B882|B1130|B1148|B1170|B1139|B510|B1159|B884|B563|B1177|B1171|B1770|B1768|B1190|B1205|B519|B1149|B560|B1195|B522|B527|B1204|B491|B1133|B1978|B1198|B1181|B1197|B444|B1199|B509|B456|B1125|B476|B1899|B1174|B2024|B1127|B1145|B1155|B1900|B1897|B630|B1194|B1123|B1176|B1137|B1172
XP024855422.1_9913_298,B561|B1191|B1180|B1151|B499|B1147|B1186|B1188|B50|B1152|B1200|B477|B1156|B1126|B1206|B882|B1130|B1148|B1139|B510|B1159|B884|B563|B1283|B1190|B1205|B519|B1149|B560|B1195|B522|B527|B1204|B491|B1282|B1133|B1198|B1181|B1279|B1197|B444|B1845|B1199|B509|B456|B1125|B476|B1899|B1127|B1145|B1155|B1900|B1897|B630|B1194|B1137
G315_313_314,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1804|B882|B1407|B1415|B1351|B1399|B1068|B510|B884|B1486|B563|B1341|B1394|B1362|B1413|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B645|B1424|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1368|B1390|B1354|B630|B1409|B433|B1344
XP012810820.2_8364_316,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B1360|B1384|B50|B1380|B882|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1413|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B1383|B509|B21|B456|B1374|B1483|B431|B1368|B1390|B1354|B630|B1409|B433
G324_322_323,B561|B1404|B1378|B1350|B1641|B1377|B1644|B499|B1621|B1360|B1384|B50|B1380|B1492|B882|B1638|B1407|B1415|B1640|B1399|B1068|B510|B884|B563|B1626|B1394|B1623|B1359|B1618|B1312|B519|B1636|B1631|B560|B1381|B522|B1627|B527|B1373|B491|B1620|B1379|B1371|B1629|B1349|B467|B444|B1406|B1403|B1632|B1383|B509|B21|B456|B1374|B1643|B1483|B431|B1390|B630|B1637|B1409|B433
XP040503121.1_9031_325,B561|B1404|B1340|B1378|B1350|B1641|B1377|B1644|B499|B1360|B1384|B50|B1380|B1492|B882|B1638|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1626|B1394|B1359|B1312|B519|B1636|B1631|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B444|B1406|B1403|B1632|B1383|B509|B21|B456|B1374|B1643|B1483|B431|B1390|B1835|B630|B1637|B1409|B433
G334_332_333,B561|B1404|B1485|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1499|B1380|B1492|B882|B1415|B1399|B1068|B1480|B510|B884|B1486|B563|B1341|B1394|B1497|B1362|B1359|B1493|B1312|B519|B1474|B560|B1381|B522|B527|B1410|B1373|B491|B1379|B1371|B1349|B467|B1496|B1393|B444|B1406|B1403|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1390|B1481|B1498|B1472|B630|B1637|B1409|B433
XP004942102.1_9031_335,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B1360|B1384|B50|B1380|B882|B1407|B1415|B1399|B1068|B1480|B510|B884|B563|B1341|B1394|B1362|B1359|B1312|B519|B1474|B560|B1381|B522|B527|B1373|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B1383|B509|B21|B456|B1374|B1483|B431|B1390|B630|B1637|B1409|B433
G353_351_352,B146|B152|B194|B165|B197|B204|B327|B50|B187|B144|B132|B189|B174|B155|B178|B186|B171|B172|B207|B190|B138|B181|B164|B195|B137|B157|B196|B198|B148|B205|B62|B143|B75|B193|B180|B170
G356_354_355,B146|B152|B194|B165|B197|B50|B187|B144|B132|B189|B174|B155|B178|B186|B171|B172|B190|B138|B181|B164|B195|B137|B157|B196|B148|B205|B62|B143|B75|B193|B180|B170
G370_368_369,B218|B245|B259|B217|B214|B222|B213|B250|B229|B231|B144|B265|B178|B211|B255|B220|B232|B210|B264|B261|B249|B253|B254|B263|B233|B252|B215|B157|B225|B212|B257|B242|B223|B62|B209|B227|B208
NP001037869.1_8364_371,B218|B245|B259|B217|B214|B50|B222|B213|B250|B229|B231|B144|B265|B178|B211|B255|B220|B232|B210|B264|B261|B249|B253|B254|B263|B233|B252|B215|B157|B225|B212|B257|B242|B223|B62|B209|B227
XP021326233.1_7955_373,B218|B245|B217|B214|B50|B222|B213|B250|B229|B231|B144|B178|B211|B220|B232|B210|B249|B253|B233|B252|B157|B225|B212|B242|B223|B62|B227
