gene,function(s)_win,function(s)_lost,module(s)_win,module(s)_lost
NP780523.3_10090_69,,Q5XPI4_RNF123,B561|B563,B1289|B1732|B1735|B1885|B1889|B1734|B1877|B1872|B1887|B1283|B1882|B1886|B1282|B1279|B647|B1702|B1888|B645|B1874|B1883|B1728|B1884|B1875|B1288|B1880|B1731|B1873|B1697|B873
NP891550.1_9606_70,P48059_LIMS1|Q01094_E2F1|Q8WZA2_RAPGEF4,,B561|B563,B974|B904|B894|B998|B893|B973|B710|B987
G71_69_70,Q5XPI4_RNF123,,B522,B561|B563
XP004944721.3_9031_74,,P02751_FN1,,B974|B1289|B1732|B1735|B1734|B608|B894|B893|B976|B973|B983|B1283|B987|B993|B1886|B605|B1282|B978|B1279|B647|B606|B645|B1874|B1728|B1288|B1731|B1697
G75_73_74,P02751_FN1,,B974|B1734|B1714|B976|B973|B963|B983|B917|B993|B978|B1702|B873|B1708,B1312|B911|B1315|B913|B910
NP001244125.1_7955_78,,P16112_ACAN,,B1289|B1715|B1732|B904|B687|B949|B608|B894|B944|B945|B947|B882|B893|B888|B946|B938|B1707|B884|B1283|B987|B940|B911|B889|B605|B1282|B1704|B1279|B647|B606|B1315|B645|B913|B1705|B951|B1728|B939|B1709|B1288|B686|B1731|B1697|B910|B919
XP011537056.1_9606_80,P01106_MYC|P51957_NEK4,,B50,B1289|B1732|B687|B608|B1877|B976|B1872|B871|B1283|B839|B605|B1282|B978|B1279|B606|B1874|B1728|B1875|B1288|B686|B1731|B1873|B1697|B873|B928
G90_88_89,,P16112_ACAN,B1738|B871,B1955|B1720|B1719
G91_79_90,Q07954_LRP1,,B1715|B858|B949|B1958|B888|B946|B1707|B1283|B854|B836|B987|B835|B911|B860|B856|B889|B1704|B398|B913|B820|B1705|B1728|B939|B865|B910|B400,B1852|B1851
XP026694849.1_7719_92,,P16112_ACAN,,B1955|B1796|B894|B945|B1720|B893|B855|B1766|B527|B1282|B1719|B1279|B2023|B762
NP001255448.1_6239_94,,P16112_ACAN,,B1732|B687|B608|B605|B606|B12|B480|B479|B436|B433
G96_68_95,P13611_VCAN|P16112_ACAN,,B773|B781,
NP001074489.1_10090_99,,P30040_ERP29|P31431_SDC4|P51957_NEK4|Q13424_SNTA1|Q14766_LTBP1|Q99496_RNF2,,B1864|B1863|B1861|B919
NP001179945.1_9913_102,,P30040_ERP29|P31431_SDC4|P51957_NEK4|Q13424_SNTA1|Q14766_LTBP1|Q99496_RNF2,,B608|B605|B606|B611
G103_101_102,P30040_ERP29|P31431_SDC4|P51957_NEK4|Q13424_SNTA1|Q14766_LTBP1|Q99496_RNF2,,B1864|B919,B1289|B1288|B1697
NP112219.3_9606_110,P04183_TK1|P16220_CREB1|P20073_ANXA7|P35556_FBN2|P35914_HMGCL|P38936_CDKN1A|P49716_CEBPD|Q16637_SMN1|Q6DN03_H2BC20P|Q96MU7_YTHDC1|Q99447_PCYT2|Q9UHA4_LAMTOR3|Q9Y4K0_LOXL2,,,B1865
G114_112_113,P35555_FBN1,,B671|B676|B683|B606|B673|B702|B674,B1283|B1282|B650|B1279|B647|B649|B645|B583|B403
NP001352835.1_9606_124,Q6Y288_B3GLCT,,,B2428|B973|B2040|B2255
G128_126_127,P14618_PKM|P52888_THOP1|Q6ZPD9_DPY19L3|Q8N4N3_KLHL36|Q8TCN5_ZNF507|Q92754_TFAP2C|Q99661_KIF2C|Q9GZT8_NIF3L1,,B2223|B2233|B2265|B2253|B2222|B2214|B2268|B2257|B2241|B2240|B2255|B2251|B2228|B2254|B2232|B2252,B2363|B1865|B2355|B2365|B2358
NP780710.2_10090_139,,B4DJ51_HELS72|O14594_NCAN|O95302_FKBP9|P0DP24_CALM2|P22415_USF1|P35813_PPM1A|P50222_MEOX2|P60660_MYL6|Q02447_SP3|Q15853_USF2|Q7L099_RUFY3|Q8IWV7_UBR1|Q9NRH2_SNRK,,B2026|B687|B1993|B1810|B605|B1811|B606|B1808|B686|B692
XP016865394.1_9606_140,P98095_FBLN2,,,B1289|B1298|B1304|B1293|B911|B1296|B1287|B1290|B1286|B1299|B1300|B1288|B1291|B1297|B910
G141_139_140,B4DJ51_HELS72|O95302_FKBP9|P0DP24_CALM2|P22415_USF1|P35813_PPM1A|P50222_MEOX2|P60660_MYL6|Q02447_SP3|Q15853_USF2|Q7L099_RUFY3|Q8IWV7_UBR1|Q9NRH2_SNRK,,B1318,B1456|B1460|B1799|B647|B645
NP001179538.1_9913_142,,O14594_NCAN,,B1289|B2026|B1993|B1283|B1312|B1287|B1317|B1290|B1282|B1286|B1279|B1315|B1307|B1288|B1316
G143_141_142,O14594_NCAN,,B1298|B1262|B687|B1249|B1320|B1296|B1287|B1290|B1286|B1299|B1253|B1300|B1260|B1291|B1325|B1336|B1245|B1297,B1796|B1765|B1766
XP003643023.3_9031_144,,P01023_A2M|P29279_CCN2,,B1289|B2026|B657|B1993|B1810|B1304|B1305|B1293|B1283|B1317|B1306|B605|B1282|B1811|B1279|B606|B1307|B658|B1288|B1808|B686|B1316|B692
XP017946319.2_8364_146,,P01023_A2M|P29279_CCN2,,B1796|B1289|B1456|B657|B1460|B1305|B1765|B911|B1317|B1306|B647|B645|B1307|B658|B1288|B1328|B1316|B1247|B630|B910
XP021332071.1_7955_148,,P01023_A2M|P29279_CCN2,,B1796|B1289|B1456|B1331|B1460|B1429|B1765|B911|B647|B645|B21|B1288|B1328|B1247|B910
G149_147_148,P01023_A2M,,,B1720|B710|B1766|B919
XP005254194.1_9606_150,O00391_QSOX1|O00468_AGRN|O15354_GPR37|O75629_CREG1|O75976_CPD|O95450_ADAMTS2|O95502_NPTXR|P05019_IGF1|P07602_PSAP|P08476_INHBA|P08572_COL4A2|P10909_CLU|P16870_CPE|P22004_BMP6|P22466_GAL|P25391_LAMA1|P35556_FBN2|P39060_COL18A1|P54756_EPHA5|Q04900_CD164|Q08380_LGALS3BP|Q08431_MFGE8|Q14766_LTBP1|Q68D85_NCR3LG1|Q6ZMP0_THSD4|Q86VR8_FJX1|Q8IWU5_SULF2|Q8IWU6_SULF1|Q8N2S1_LTBP4|Q92520_FAM3C|Q92743_HTRA1|Q9BZL6_PRKD2|Q9NS15_LTBP3|Q9NT22_EMILIN3|Q9NYQ6_CELSR1|Q9R0G6_Q9R0G6,,,B1923|B1921|B1331|B1333|B710|B1765|B1332|B1470|B1766|B1924|B1820|B919
XP024837785.1_9913_151,,P07858_CTSB,,B1818|B1289|B1449|B1447|B1450|B1304|B1305|B1293|B1283|B1454|B1444|B1312|B911|B1287|B1317|B1306|B1290|B1282|B1286|B1279|B1453|B1315|B1455|B1307|B1443|B1452|B1995|B1288|B1316|B1451|B1464|B910
G152_150_151,P07858_CTSB,,B560|B1919|B1918|B1917,B1460|B647|B645
NP001313280.1_10090_153,,P01034_CST3|P02461_COL3A1|P02751_FN1|P12111_COL6A3|P30443_HLAA,B1456|B560,B1818|B1923|B1921|B710|B1765|B1312|B1317|B1766|B1924|B1315|B1307|B1995|B1316|B1820|B919
G154_152_153,A0A024R8E5_COL5A1|A0A0S2Z3H5_COL1A2|P01034_CST3|P02452_COL1A1|P02461_COL3A1|P02751_FN1|P05997_COL5A2|P12111_COL6A3|P30443_HLAA,,B1450|B1454|B1444|B1436|B1287|B1426|B1470|B1290|B1286|B1453|B1455|B1443|B1433|B1451|B1435|B1430,B1456|B687|B1810|B560|B605|B1811|B606|B1808|B686|B692
XP003641878.3_9031_155,,P01023_A2M|P29279_CCN2,,B1923|B1289|B1431|B1921|B1283|B1765|B1312|B1317|B1766|B1282|B1279|B647|B1924|B1315|B645|B1307|B1995|B1288|B1316|B1464|B919
XP002933006.3_8364_157,,P01023_A2M|P29279_CCN2,,B1923|B1289|B1431|B1921|B710|B1305|B1765|B1312|B911|B1317|B1766|B647|B1924|B1315|B645|B1307|B1432|B1995|B1288|B1316|B1820|B910
XP021333676.1_7955_159,,P01023_A2M|P29279_CCN2,,B1289|B1456|B687|B1460|B1993|B1810|B1305|B1429|B1283|B1312|B911|B1317|B1306|B605|B1282|B1811|B1279|B606|B1315|B1307|B1995|B1288|B1808|B686|B1316|B692|B910|B919
G160_158_159,P01023_A2M,,B1923|B1431|B1921|B1924|B1432,B1796|B647
G161_149_160,P28799_GRN|P29279_CCN2|P49747_COMP,,B1289|B1456|B1331|B1272|B1460|B1993|B594|B592|B1305|B1429|B1283|B1332|B911|B1269|B1317|B1306|B1811|B1315|B1307|B1995|B1288|B1328|B1316|B1247|B910,B904|B894|B893|B1845|B557|B12|B1859|B1860
XP006530858.1_10090_167,,Q6Y288_B3GLCT,,B1752|B710|B1751|B1174
NP955387.1_9606_168,P01834_IGKC|P11021_HSPA5|P78362_SRPK2,,,B608|B605|B606|B692
G169_167_168,Q6Y288_B3GLCT,,B1096,B657|B647|B645|B1746|B658|B1748
G171_169_170,P02768_ALB,,B477|B1073|B1095,
NP620687.2_9606_179,P11387_TOP1|P50454_SERPINH1,,,B882
G182_180_181,P02751_FN1,,B1025|B1012|B1057|B1893|B1004|B1003|B1894,B687|B1090|B884|B1283|B1966|B1282|B1279|B1845|B1106|B686
XP016877462.1_9606_191,Q13616_CUL1|Q6DD88_ATL3|Q8TE56_ADAMTS17,,,B1239|B647|B645
NP598377.4_9606_203,Q93079_H2BC9,,B658|B431,B882|B884|B1239|B647|B645|B1539|B1538|B630
NP001071498.1_9913_216,,A5PL33_KRBA1|O14628_ZNF195|O15014_ZNF609|O75665_OFD1|P0DPA2_VSIG8|P10071_GLI3|P11142_HSPA8|P42694_HELZ|P54652_HSPA2|P55316_FOXG1|P58340_MLF1|P78560_CRADD|Q13546_RIPK1|Q14865_ARID5B|Q63ZY3_KANK2|Q70EL1_USP54|Q8TCU4_ALMS1|Q92624_APPBP2|Q9UPV0_CEP164,,B2130|B1732|B2163|B657|B2173|B1188|B2168|B882|B710|B1068|B510|B884|B1312|B2145|B519|B2174|B560|B2353|B527|B2160|B2165|B2156|B2180|B2203|B647|B2132|B2139|B645|B2140|B557|B509|B658|B2124|B2210|B2175|B2199|B2200|B630|B2201|B2172|B547
G217_215_216,A5PL33_KRBA1|O14628_ZNF195|O15014_ZNF609|O75665_OFD1|P0DPA2_VSIG8|P10071_GLI3|P11142_HSPA8|P42694_HELZ|P54652_HSPA2|P55316_FOXG1|P58340_MLF1|P78560_CRADD|Q13546_RIPK1|Q14865_ARID5B|Q63ZY3_KANK2|Q70EL1_USP54|Q8TCU4_ALMS1|Q92624_APPBP2|Q9UPV0_CEP164,,,B522
XP017947904.2_8364_220,,P35555_FBN1,,B882|B884|B1312
G221_219_220,P35555_FBN1,,B2130|B2163|B2155|B2145|B519|B2353|B2160|B2156|B2180|B2132|B2140|B509|B2124,
XP011507946.1_9606_226,O00213_APBB1,,,
NP001094531.1_9913_227,,O76003_GLRX3|P60410_KRTAP108|Q07627_KRTAP11,,
G228_226_227,O76003_GLRX3|P60410_KRTAP108|Q07627_KRTAP11,,B2419|B2422|B2417|B2418|B2421|B2420,
NP001288634.1_10090_229,,A0A024R5G1_EFEMP2|A0A024R8K7_ITGB4|A0A024RD55_EGFL9|A5D8T8_CLEC18A|F5H991_US26|O14633_LCE2B|O15162_PLSCR1|O43184_ADAM12|O43559_FRS3|O43597_SPRY2|O43741_PRKAB2|O60336_MAPKBP1|O60504_SORBS3|O60573_EIF4E2|O75716_STK16|O95363_FARS2|O95429_BAG4|O95985_TOP3B|P05107_ITGB2|P07858_CTSB|P09228_CST2|P09681_GIP|P14210_HGF|P16930_FAH|P19320_VCAM1|P20155_SPINK2|P21333_FLNA|P23769_GATA2|P25791_LMO2|P25800_LMO1|P27658_COL8A1|P27918_CFP|P29972_AQP1|P31273_HOXC8|P32242_OTX1|P34130_NTF4|P43115_PTGER3|P51114_FXR1|P60331_KRTAP101|P60370_KRTAP105|P60411_KRTAP109|P60412_KRTAP1011|P68106_FKBP1B|Q02930_CREB5|Q07912_TNK2|Q12756_KIF1A|Q13526_PIN1|Q13643_FHL3|Q14129_DGCR6|Q14689_DIP2A|Q14749_GNMT|Q14764_MVP|Q15560_TCEA2|Q15654_TRIP6|Q17RB8_LONRF1|Q3LI59_KRTAP212|Q3V5L5_MGAT5B|Q5JXC2_MIIP|Q5T5A8_LCE3C|Q5T5B0_LCE3E|Q5T751_LCE1C|Q5T7P3_LCE1B|Q5TA78_LCE4A|Q5TA82_LCE2D|Q6EMK4_VASN|Q6L8G9_KRTAP56|Q6PF18_MORN3|Q6PJG9_LRFN4|Q6RVD6_SPATA8|Q6UY11_DLK2|Q6ZMM2_ADAMTSL5|Q701N4_KRTAP52|Q7L273_KCTD9|Q7Z2X4_PID1|Q7Z3C6_ATG9A|Q86SG6_NEK8|Q86TG1_TMEM150A|Q8IWZ5_TRIM42|Q8IYR0_CFAP206|Q8N6N6_NATD1|Q8NEC5_CATSPER1|Q8NFT6_DBF4B|Q8TAU3_ZNF417|Q8TCE9_LGALS14|Q8WUD1_RAB2B|Q8WV35_LRRC29|Q8WY64_MYLIP|Q92537_SUSD6|Q92922_SMARCC1|Q969U6_FBXW5|Q96F81_DISP1|Q96HA8_NTAQ1|Q96PB7_OLFM3|Q96PM5_RCHY1|Q96PN8_TSSK3|Q96SQ5_ZNF587|Q96SQ9_CYP2S1|Q9BQ66_KRTAP412|Q9BWW8_APOL6|Q9BX59_TAPBPL|Q9BY27_DGCR6L|Q9BYQ2_KRTAP94|Q9BYQ4_KRTAP92|Q9BYQ6_KRTAP411|Q9BYR5_KRTAP42|Q9BZE9_ASPSCR1|Q9GZQ4_NMUR2|Q9H2A7_CXCL16|Q9H4E5_RHOJ|Q9H503_BANF2|Q9H5Z6_FAM124B|Q9HBZ2_ARNT2|Q9NP91_SLC6A20|Q9NRD1_FBXO6|Q9NUL5_SHFL|Q9UBL6_CPNE7|Q9UGJ1_TUBGCP4|Q9UHI7_SLC23A1|Q9UJV3_MID2|Q9ULA0_DNPEP|Q9Y223_GNE|Q9Y3B2_EXOSC1|Q9Y467_SALL2|Q9Y4X0_AMMECR1|Q9Y6H1_CHCHD2,,
G230_228_229,A0A024R5G1_EFEMP2|A0A024R8E5_COL5A1|A0A024R8K7_ITGB4|A0A024RD55_EGFL9|A0A0S2Z3H5_COL1A2|A5D8T8_CLEC18A|A8MQ03_CYSRT1|F5H991_US26|O14633_LCE2B|O15162_PLSCR1|O43184_ADAM12|O43559_FRS3|O43597_SPRY2|O43741_PRKAB2|O43897_TLL1|O60336_MAPKBP1|O60504_SORBS3|O60573_EIF4E2|O75716_STK16|O95363_FARS2|O95429_BAG4|O95985_TOP3B|P02452_COL1A1|P02458_COL2A1|P02461_COL3A1|P05107_ITGB2|P05997_COL5A2|P07858_CTSB|P09228_CST2|P09681_GIP|P12107_COL11A1|P13497_BMP1|P13942_COL11A2|P14210_HGF|P16930_FAH|P19320_VCAM1|P20155_SPINK2|P21333_FLNA|P23769_GATA2|P25791_LMO2|P25800_LMO1|P25940_COL5A3|P26371_KRTAP59|P27658_COL8A1|P27918_CFP|P29972_AQP1|P31273_HOXC8|P32242_OTX1|P34130_NTF4|P43115_PTGER3|P49639_HOXA1|P51114_FXR1|P60331_KRTAP101|P60369_KRTAP103|P60370_KRTAP105|P60411_KRTAP109|P60412_KRTAP1011|P68106_FKBP1B|Q02930_CREB5|Q07912_TNK2|Q12756_KIF1A|Q13526_PIN1|Q13643_FHL3|Q14129_DGCR6|Q14689_DIP2A|Q14749_GNMT|Q14764_MVP|Q15560_TCEA2|Q15654_TRIP6|Q17RB8_LONRF1|Q17RW2_COL24A1|Q3LI59_KRTAP212|Q3V5L5_MGAT5B|Q5JXC2_MIIP|Q5T5A8_LCE3C|Q5T5B0_LCE3E|Q5T751_LCE1C|Q5T7P3_LCE1B|Q5TA78_LCE4A|Q5TA82_LCE2D|Q6EMK4_VASN|Q6L8G9_KRTAP56|Q6PF18_MORN3|Q6PJG9_LRFN4|Q6RVD6_SPATA8|Q6UY11_DLK2|Q6UY14_ADAMTSL4|Q6ZMM2_ADAMTSL5|Q701N4_KRTAP52|Q7L273_KCTD9|Q7Z2X4_PID1|Q7Z3C6_ATG9A|Q86SG6_NEK8|Q86TG1_TMEM150A|Q8IWZ5_TRIM42|Q8IYR0_CFAP206|Q8IZC6_COL27A1|Q8N6N6_NATD1|Q8NEC5_CATSPER1|Q8NFT6_DBF4B|Q8TAU3_ZNF417|Q8TCE9_LGALS14|Q8WUD1_RAB2B|Q8WV35_LRRC29|Q8WY64_MYLIP|Q92537_SUSD6|Q92922_SMARCC1|Q969U6_FBXW5|Q96F81_DISP1|Q96HA8_NTAQ1|Q96PB7_OLFM3|Q96PM5_RCHY1|Q96PN8_TSSK3|Q96SQ5_ZNF587|Q96SQ9_CYP2S1|Q9BQ66_KRTAP412|Q9BWW8_APOL6|Q9BX59_TAPBPL|Q9BY27_DGCR6L|Q9BYQ2_KRTAP94|Q9BYQ4_KRTAP92|Q9BYQ6_KRTAP411|Q9BYR5_KRTAP42|Q9BZE9_ASPSCR1|Q9GZQ4_NMUR2|Q9H2A7_CXCL16|Q9H4E5_RHOJ|Q9H503_BANF2|Q9H5Z6_FAM124B|Q9HBZ2_ARNT2|Q9NP91_SLC6A20|Q9NRD1_FBXO6|Q9NUL5_SHFL|Q9UBL6_CPNE7|Q9UGJ1_TUBGCP4|Q9UHI7_SLC23A1|Q9UJV3_MID2|Q9ULA0_DNPEP|Q9Y223_GNE|Q9Y3B2_EXOSC1|Q9Y467_SALL2|Q9Y4X0_AMMECR1|Q9Y6H1_CHCHD2,,B2182|B2181|B2183|B2195|B2188|B2194|B2189|B2196|B2208,B519|B2147
G235_225_234,Q7Z417_NUFIP2,,B2173|B1188|B2168|B2153|B592|B2174|B2203|B2139|B2210|B2147|B2199|B2200|B2201|B2172,B608|B882|B884|B605|B606|B692
XP011517543.2_9606_241,P35556_FBN2|Q14766_LTBP1|Q9Y4K0_LOXL2,,,B2323|B1384|B1738|B882|B884|B1765|B2316|B2317|B2294|B560|B1766|B2296|B2321|B522|B527|B2320|B509|B1859|B1995|B1860|B2295|B2318|B1176|B2322
XP031747432.1_8364_247,,P35555_FBN1|P49639_HOXA1|P58215_LOXL3|Q7Z6G3_NECAB2,,B2323|B1863|B2321|B647|B645|B1859|B1995|B1860|B2322|B919
G248_246_247,P35555_FBN1|P49639_HOXA1|P58215_LOXL3|Q7Z6G3_NECAB2,,B2310|B2378|B2377|B2299|B2385|B2301|B2379|B2380|B1820|B2381,
NP001177303.1_10090_254,,O76003_GLRX3|P0C7H8_KRTAP23|P60328_KRTAP123|P60371_KRTAP106|P60410_KRTAP108|Q07627_KRTAP11|Q6A162_KRT40|Q6L8G8_KRTAP57|Q99750_MDFI|Q9BYR7_KRTAP32|Q9BYR9_KRTAP24,,B2334|B657|B894|B2330|B2338|B2343|B2332|B1863|B2335|B2337|B2396|B2391|B647|B2331|B645|B658|B2395|B2394|B2023|B2393|B2339|B2118|B919
XP024838113.1_9913_257,,O76003_GLRX3|P0C7H8_KRTAP23|P60328_KRTAP123|P60371_KRTAP106|P60410_KRTAP108|Q07627_KRTAP11|Q6A162_KRT40|Q6L8G8_KRTAP57|Q99750_MDFI|Q9BYR7_KRTAP32|Q9BYR9_KRTAP24,,B2090|B1796|B2334|B894|B2330|B2060|B2338|B2343|B2332|B1765|B1312|B1863|B2063|B2335|B1766|B2337|B2061|B2064|B647|B2331|B1315|B645|B2089|B2023|B2067|B2068|B2059|B2339|B919|B2069
G258_256_257,A8MQ03_CYSRT1|O76003_GLRX3|P0C7H8_KRTAP23|P0DPK4_NOTCH2NLC|P60328_KRTAP123|P60369_KRTAP103|P60371_KRTAP106|P60410_KRTAP108|Q07627_KRTAP11|Q6A162_KRT40|Q6L8G8_KRTAP57|Q7Z3S9_NOTCH2NLA|Q99750_MDFI|Q9BYR7_KRTAP32|Q9BYR9_KRTAP24,,B2084|B2071|B657|B2091|B2076|B2082|B2074|B519|B2102|B1287|B2079|B2042|B2391|B2072|B2395|B2394|B2078|B2087|B2393,B974|B2119|B973|B1848
XP006538438.1_10090_265,,P09238_MMP10|Q14192_FHL2|Q15067_ACOX1|Q6Y288_B3GLCT|Q96DX4_RSPRY1|Q9H6R7_WDCP,,B2408|B2406|B2401|B2334|B2407|B2340|B2403|B2405|B894|B2330|B2338|B710|B2343|B2332|B2404|B987|B1863|B2402|B2335|B2337|B2411|B2400|B2331|B2328|B2414|B2336|B2341|B2409|B2412|B2410|B2344|B2339|B919
XP011516365.1_9606_266,P35556_FBN2,,,B2105|B2114|B1732|B2107|B687|B608|B2113|B2110|B2106|B2109|B2112|B1312|B2063|B2102|B2058|B2104|B605|B2108|B2061|B2096|B606|B1315|B1728|B686|B1731|B2111|B2067|B2068
XP024851836.1_9913_268,,P09238_MMP10|Q14192_FHL2|Q15067_ACOX1|Q6Y288_B3GLCT|Q96DX4_RSPRY1|Q9H6R7_WDCP,,B2105|B2114|B1732|B2107|B687|B608|B2113|B2110|B2106|B2109|B2112|B1312|B2063|B2102|B2058|B2104|B605|B2108|B2061|B606|B1315|B1728|B686|B1731|B2111|B2067|B2068
G269_267_268,P09238_MMP10|Q14192_FHL2|Q15067_ACOX1|Q6Y288_B3GLCT|Q96DX4_RSPRY1|Q9H6R7_WDCP,,B2401|B2407|B2403|B2405|B2102|B2411|B2096|B2409,B647|B645
G271_269_270,P28799_GRN,,B2105|B2114|B2098|B2107|B2113|B2110|B2106|B2109|B2112|B2104|B2108|B2344,B904|B2442
XP011526263.1_9606_278,P35556_FBN2,,,
G281_279_280,A8MQ03_CYSRT1|P01116_KRAS|P0DPK4_NOTCH2NLC|P26371_KRTAP59|P35555_FBN1|P60369_KRTAP103|Q5TD97_FHL5|Q6UY14_ADAMTSL4|Q7Z3S9_NOTCH2NLA,,B2283|B2285|B2280|B2275|B2290|B2288|B2434,B2376|B2375
G299_297_298,P00451_F8|P04275_VWF,,B1191|B1180|B1206|B1159|B1190|B1204|B1181|B1197|B1199|B1900|B1897,B1754|B1765|B1766|B479|B1174|B1755
NP055058.2_9606_312,O14672_ADAM10|P07602_PSAP|P07996_THBS1|P0CG39_POTEJ|P10909_CLU|P14625_HSP90B1|P49767_VEGFC|Q12805_EFEMP1|Q14766_LTBP1|Q6UXH8_CCBE1|Q96GW7_BCAN|Q9UHD9_UBQLN2|Q9UHI8_ADAMTS1,,B563,B1404|B882|B1407|B884|B1312|B1406|B1409
XP040555677.1_9031_314,,P29279_CCN2,,B1340|B657|B1351|B1486|B645|B658
G315_313_314,P29279_CCN2,,B1424,
XP021331662.1_7955_318,,P02751_FN1|P30443_HLAA|P78509_RELN,,B657|B645|B658
