gene,leaf,function(s)_win,function(s)_lost,module(s)_win,module(s)_lost
NP005090.3_9606_11,NP005090.3_9606_11,O00462_MANBA|O14594_NCAN|O15232_MATN3|O15315_RAD51B|O43502_RAD51C|O60687_SRPX2|O75173_ADAMTS4|O95450_ADAMTS2|P00738_HP|P01009_SERPINA1|P01011_SERPINA3|P02795_MT2A|P07585_DCN|P35625_TIMP3|P68366_TUBA4A|P98095_FBLN2|P98170_XIAP|Q01664_TFAP4|Q01814_ATP2B2|Q05516_ZBTB16|Q12933_TRAF2|Q13490_BIRC2|Q13509_TUBB3|Q15633_TARBP2|Q71U36_TUBA1A|Q7L8W6_DPH6|Q86XX4_FRAS1|Q8N5R6_CCDC33|Q92628_KIAA0232|Q96GW7_BCAN|Q96MU7_YTHDC1|Q9BY32_ITPA|Q9H4B7_TUBB1|Q9NR09_BIRC6|Q9NXB0_MKS1|Q9UPY3_DICER1|Q9Y4K0_LOXL2,,,
NP858053.1_9913_12,NP858053.1_9913_12,,P02751_FN1|P78509_RELN,,
G13_11_12,NP005090.3_9606_11,P78509_RELN,,B1950,
G13_11_12,NP858053.1_9913_12,P78509_RELN,,B1950,
NP766433.2_10090_14,NP766433.2_10090_14,,P02751_FN1,,
G15_13_14,NP005090.3_9606_11,P01023_A2M|P02751_FN1|P21810_BGN|P49747_COMP|Q07954_LRP1,,B1693|B1675|B1678|B1497|B1674|B1496|B1692|B1676,
G15_13_14,NP858053.1_9913_12,P01023_A2M|P02751_FN1|P21810_BGN|P49747_COMP|Q07954_LRP1,,B1693|B1675|B1678|B1497|B1674|B1496|B1692|B1676,
G15_13_14,NP766433.2_10090_14,P01023_A2M|P02751_FN1|P21810_BGN|P49747_COMP|Q07954_LRP1,,B1693|B1675|B1678|B1497|B1674|B1496|B1692|B1676,
XP015135540.3_9031_16,XP015135540.3_9031_16,,A0A024RC70_FURIN|P16112_ACAN,,
G17_15_16,NP005090.3_9606_11,,,B1688,
G17_15_16,NP858053.1_9913_12,,,B1688,
G17_15_16,NP766433.2_10090_14,,,B1688,
G17_15_16,XP015135540.3_9031_16,,,B1688,
XP004919795.1_8364_18,XP004919795.1_8364_18,,A0A024RC70_FURIN,,
G19_17_18,NP005090.3_9606_11,A0A024RC70_FURIN,,B1691|B1689|B1677|B1687|B1683,
G19_17_18,NP858053.1_9913_12,A0A024RC70_FURIN,,B1691|B1689|B1677|B1687|B1683,
G19_17_18,NP766433.2_10090_14,A0A024RC70_FURIN,,B1691|B1689|B1677|B1687|B1683,
G19_17_18,XP015135540.3_9031_16,A0A024RC70_FURIN,,B1691|B1689|B1687|B1842,
G19_17_18,XP004919795.1_8364_18,A0A024RC70_FURIN,,B1691|B1689|B1677|B1687|B1842|B1683,
G20_10_19,NP008919.3_9606_0,,,,B882
G20_10_19,NP001094550.1_9913_1,,,,
G20_10_19,NP033751.3_10090_3,,,,
G20_10_19,XP015154663.2_9031_5,,,,
G20_10_19,NP001120905.1_8364_7,,,,B882
G20_10_19,XP021331598.1_7955_9,,,,B882
G20_10_19,NP005090.3_9606_11,,,,
G20_10_19,NP858053.1_9913_12,,,,
G20_10_19,NP766433.2_10090_14,,,,
G20_10_19,XP015135540.3_9031_16,,,,
G20_10_19,XP004919795.1_8364_18,,,,
NP038934.2_10090_21,NP038934.2_10090_21,,P10451_SPP1,,
NP008968.4_9606_22,NP008968.4_9606_22,,,,
G23_21_22,NP038934.2_10090_21,P10451_SPP1,,B1545|B1552,
G23_21_22,NP008968.4_9606_22,P10451_SPP1,,B1545|B1552,
NP001179254.1_9913_24,NP001179254.1_9913_24,,,,
G25_23_24,NP038934.2_10090_21,,,B1554|B1550|B1543|B1546|B1542,
G25_23_24,NP008968.4_9606_22,,,B1554|B1550|B1546|B1943|B1542,
G25_23_24,NP001179254.1_9913_24,,,B1554|B1550|B1543|B1546|B1943|B1542,
XP015153616.2_9031_26,XP015153616.2_9031_26,,,,
G27_25_26,NP038934.2_10090_21,,,B561|B1566,
G27_25_26,NP008968.4_9606_22,,,B561|B1566,
G27_25_26,NP001179254.1_9913_24,,,B561|B1566,
G27_25_26,XP015153616.2_9031_26,,,B561|B1566,
XP002940685.2_8364_28,XP002940685.2_8364_28,,,B561,
G29_27_28,NP038934.2_10090_21,,,,B561
G29_27_28,NP008968.4_9606_22,,,,B561
G29_27_28,NP001179254.1_9913_24,,,,B561
G29_27_28,XP015153616.2_9031_26,,,,B561
G29_27_28,XP002940685.2_8364_28,,,,B561
XP021328605.1_7955_30,XP021328605.1_7955_30,,,,
XP001341878.1_7955_31,XP001341878.1_7955_31,,,,
G32_30_31,XP021328605.1_7955_30,,,B657|B2002|B2003|B2007|B2001|B1999,
G32_30_31,XP001341878.1_7955_31,,,B657|B2002|B2003|B2007|B2001|B1999,
XP698107.4_7955_33,XP698107.4_7955_33,,,,
XP021332165.1_7955_34,XP021332165.1_7955_34,,,,
G35_33_34,XP698107.4_7955_33,,,B2009|B2016|B2010|B2013|B2012|B2008,
G35_33_34,XP021332165.1_7955_34,,,B2009|B2016|B2010|B2013|B2012|B2008,
G36_32_35,XP021328605.1_7955_30,,,B2000,
G36_32_35,XP001341878.1_7955_31,,,B2000,
G36_32_35,XP698107.4_7955_33,,,B2000,
G36_32_35,XP021332165.1_7955_34,,,B2000,
G37_29_36,NP038934.2_10090_21,,P13611_VCAN|P16112_ACAN,B1556|B1558|B1563,
G37_29_36,NP008968.4_9606_22,,P13611_VCAN|P16112_ACAN,B1556|B1558|B1563,
G37_29_36,NP001179254.1_9913_24,,P13611_VCAN|P16112_ACAN,B1556|B1558|B1563,
G37_29_36,XP015153616.2_9031_26,,P13611_VCAN|P16112_ACAN,B1556|B1558|B1563,
G37_29_36,XP002940685.2_8364_28,,P13611_VCAN|P16112_ACAN,B1556|B2005|B1558|B1563,
G37_29_36,XP021328605.1_7955_30,,P13611_VCAN|P16112_ACAN,B1556|B2005|B1558|B1563,
G37_29_36,XP001341878.1_7955_31,,P13611_VCAN|P16112_ACAN,B1556|B2005|B1558|B1563,
G37_29_36,XP698107.4_7955_33,,P13611_VCAN|P16112_ACAN,B1556|B2005|B1558|B1563,
G37_29_36,XP021332165.1_7955_34,,P13611_VCAN|P16112_ACAN,B1556|B2005|B1558|B1563,
G38_20_37,NP008919.3_9606_0,,,B1671|B1547|B1561,
G38_20_37,NP001094550.1_9913_1,,,B1671|B1547|B1561,
G38_20_37,NP033751.3_10090_3,,,B1671|B1547|B1561,
G38_20_37,XP015154663.2_9031_5,,,B1547|B1831|B1561,B657
G38_20_37,NP001120905.1_8364_7,,,B1671|B1547|B1561,
G38_20_37,XP021331598.1_7955_9,,,B1547|B1561,B687|B1283
G38_20_37,NP005090.3_9606_11,,,,
G38_20_37,NP858053.1_9913_12,,,,
G38_20_37,NP766433.2_10090_14,,,,
G38_20_37,XP015135540.3_9031_16,,,,
G38_20_37,XP004919795.1_8364_18,,,,
G38_20_37,NP038934.2_10090_21,,,B1547|B1561,
G38_20_37,NP008968.4_9606_22,,,B1547|B1831|B1561,
G38_20_37,NP001179254.1_9913_24,,,B1547|B1831|B1561,
G38_20_37,XP015153616.2_9031_26,,,B1547|B1831|B1561,
G38_20_37,XP002940685.2_8364_28,,,B1671|B1561,
G38_20_37,XP021328605.1_7955_30,,,B1831|B1561,B657
G38_20_37,XP001341878.1_7955_31,,,B1831|B1561,B657
G38_20_37,XP698107.4_7955_33,,,B1671|B1561,
G38_20_37,XP021332165.1_7955_34,,,B1671|B1561,
NP001019310.1_10090_39,NP001019310.1_10090_39,,,,
NP620686.1_9606_40,NP620686.1_9606_40,Q5XPI4_RNF123,,,
G41_39_40,NP001019310.1_10090_39,,,,
G41_39_40,NP620686.1_9606_40,,,,
NP001179319.1_9913_42,NP001179319.1_9913_42,,,,
G43_41_42,NP001019310.1_10090_39,,,B738|B713|B741|B805,
G43_41_42,NP620686.1_9606_40,,,B738|B713|B741|B805|B1866,
G43_41_42,NP001179319.1_9913_42,,,B738|B713|B741|B805|B1866,
XP417874.2_9031_44,XP417874.2_9031_44,,,,
G45_43_44,NP001019310.1_10090_39,,,,
G45_43_44,NP620686.1_9606_40,,,,
G45_43_44,NP001179319.1_9913_42,,,,
G45_43_44,XP417874.2_9031_44,,,,
XP012822382.1_8364_46,XP012822382.1_8364_46,,,,
G47_45_46,NP001019310.1_10090_39,,,B714|B740|B716,
G47_45_46,NP620686.1_9606_40,,,B714|B1868|B740|B716,
G47_45_46,NP001179319.1_9913_42,,,B714|B1868|B740|B716,
G47_45_46,XP417874.2_9031_44,,,B714|B740,
G47_45_46,XP012822382.1_8364_46,,,B714|B1868|B740|B686|B716,
XP021328606.1_7955_48,XP021328606.1_7955_48,,,,
XP001341935.2_7955_49,XP001341935.2_7955_49,,,,
G50_48_49,XP021328606.1_7955_48,,,B1960|B1961|B1962|B1959|B1964|B630,
G50_48_49,XP001341935.2_7955_49,,,B1960|B1961|B1962|B1959|B1964|B630,
NP001119901.1_7955_51,NP001119901.1_7955_51,,,,
G52_50_51,XP021328606.1_7955_48,,,,B630
G52_50_51,XP001341935.2_7955_49,,,,B630
G52_50_51,NP001119901.1_7955_51,,,,
G53_47_52,NP001019310.1_10090_39,,P16112_ACAN,B793|B817|B810|B803,
G53_47_52,NP620686.1_9606_40,,P16112_ACAN,B793|B817|B803,
G53_47_52,NP001179319.1_9913_42,,P16112_ACAN,B793|B817,
G53_47_52,XP417874.2_9031_44,,P16112_ACAN,B1741|B793|B817|B803,
G53_47_52,XP012822382.1_8364_46,,P16112_ACAN,B793|B817,
G53_47_52,XP021328606.1_7955_48,,P16112_ACAN,B793|B817|B810,
G53_47_52,XP001341935.2_7955_49,,P16112_ACAN,B793|B817|B810,
G53_47_52,NP001119901.1_7955_51,,P16112_ACAN,B1741|B793|B817|B803,
G54_38_53,NP008919.3_9606_0,,,B796|B799|B398|B21|B792|B400,
G54_38_53,NP001094550.1_9913_1,,,B796|B799|B398|B21|B792|B400,
G54_38_53,NP033751.3_10090_3,,,B796|B799|B398|B21|B792|B400,B608|B605
G54_38_53,XP015154663.2_9031_5,,,B796|B799|B398|B658|B21|B792|B400,
G54_38_53,NP001120905.1_8364_7,,,B796|B799|B398|B21|B792|B400,
G54_38_53,XP021331598.1_7955_9,,,B796|B799|B398|B21|B792|B400,
G54_38_53,NP005090.3_9606_11,,,,
G54_38_53,NP858053.1_9913_12,,,,
G54_38_53,NP766433.2_10090_14,,,,
G54_38_53,XP015135540.3_9031_16,,,,
G54_38_53,XP004919795.1_8364_18,,,,
G54_38_53,NP038934.2_10090_21,,,B796|B799|B398|B800|B21|B792|B400,
G54_38_53,NP008968.4_9606_22,,,B796|B799|B398|B800|B21|B792|B400,
G54_38_53,NP001179254.1_9913_24,,,B796|B799|B398|B800|B21|B792|B400,
G54_38_53,XP015153616.2_9031_26,,,B796|B799|B398|B800|B792|B400,
G54_38_53,XP002940685.2_8364_28,,,B796|B799|B398|B800|B792|B400,
G54_38_53,XP021328605.1_7955_30,,,B796|B799|B800|B658|B21|B792,
G54_38_53,XP001341878.1_7955_31,,,B796|B799|B800|B658|B21|B792,
G54_38_53,XP698107.4_7955_33,,,B796|B799|B800|B21|B792,
G54_38_53,XP021332165.1_7955_34,,,B796|B799|B800|B21|B792,
G54_38_53,NP001019310.1_10090_39,,,B796|B799|B398|B800|B658|B21|B792|B400,
G54_38_53,NP620686.1_9606_40,,,B796|B799|B398|B800|B21|B792|B400,
G54_38_53,NP001179319.1_9913_42,,,B796|B799|B398|B800|B21|B792|B400,
G54_38_53,XP417874.2_9031_44,,,B796|B799|B398|B800|B21|B792|B400,
G54_38_53,XP012822382.1_8364_46,,,B796|B799|B398|B800|B21|B792|B400,
G54_38_53,XP021328606.1_7955_48,,,B796|B799|B398|B800|B658|B21|B792|B400,
G54_38_53,XP001341935.2_7955_49,,,B796|B799|B398|B800|B658|B21|B792|B400,
G54_38_53,NP001119901.1_7955_51,,,B796|B799|B398|B800|B658|B21|B792|B400,
NP035912.2_10090_55,NP035912.2_10090_55,,P98095_FBLN2,B510,
NP008969.2_9606_56,NP008969.2_9606_56,P02787_TF|P10909_CLU|Q96GW7_BCAN,,B510,
G57_55_56,NP035912.2_10090_55,,,B1597,B510
G57_55_56,NP008969.2_9606_56,,,B1597,B510
NP001159987.1_9913_58,NP001159987.1_9913_58,,P98095_FBLN2,,
G59_57_58,NP035912.2_10090_55,O14594_NCAN|O75339_CILP|O95460_MATN4|P13605_FMOD|P18827_SDC1|P19823_ITIH2|P24821_TNC|P35625_TIMP3|P45452_MMP13|P98095_FBLN2|Q8IUL8_CILP2|Q9UNA0_ADAMTS5,,B1583|B1595|B1610|B1575|B1577|B1598|B1591|B1592,
G59_57_58,NP008969.2_9606_56,O14594_NCAN|O75339_CILP|O95460_MATN4|P13605_FMOD|P18827_SDC1|P19823_ITIH2|P24821_TNC|P35625_TIMP3|P45452_MMP13|P98095_FBLN2|Q8IUL8_CILP2|Q9UNA0_ADAMTS5,,B1583|B1595|B1610|B1945|B1575|B1577|B1598|B1944|B1591|B1592,
G59_57_58,NP001159987.1_9913_58,O14594_NCAN|O75339_CILP|O95460_MATN4|P13605_FMOD|P18827_SDC1|P19823_ITIH2|P24821_TNC|P35625_TIMP3|P45452_MMP13|P98095_FBLN2|Q8IUL8_CILP2|Q9UNA0_ADAMTS5,,B1583|B1595|B1610|B1945|B1575|B1577|B1598|B1944|B1591|B1592,
XP425541.6_9031_60,XP425541.6_9031_60,,P02751_FN1|P07585_DCN|P51888_PRELP|P78509_RELN,,
G61_59_60,NP035912.2_10090_55,P07585_DCN|P51888_PRELP,,B491,
G61_59_60,NP008969.2_9606_56,P07585_DCN|P51888_PRELP,,B491,
G61_59_60,NP001159987.1_9913_58,P07585_DCN|P51888_PRELP,,B491,
G61_59_60,XP425541.6_9031_60,P07585_DCN|P51888_PRELP,,B491,
XP002935740.1_8364_62,XP002935740.1_8364_62,,P01023_A2M|P02461_COL3A1|P02751_FN1|P78509_RELN,B491,
G63_61_62,NP035912.2_10090_55,P02458_COL2A1|P02461_COL3A1|P02751_FN1|P21810_BGN|P78509_RELN,,B1578|B1608,B491
G63_61_62,NP008969.2_9606_56,P02458_COL2A1|P02461_COL3A1|P02751_FN1|P21810_BGN|P78509_RELN,,B1578|B1608,B491
G63_61_62,NP001159987.1_9913_58,P02458_COL2A1|P02461_COL3A1|P02751_FN1|P21810_BGN|P78509_RELN,,B657|B1578|B658|B1608,B491
G63_61_62,XP425541.6_9031_60,P02458_COL2A1|P02461_COL3A1|P02751_FN1|P21810_BGN|P78509_RELN,,B657|B658|B1608,B491
G63_61_62,XP002935740.1_8364_62,P02458_COL2A1|P02461_COL3A1|P02751_FN1|P21810_BGN|P78509_RELN,,B1578|B1608,B491
NP001289160.1_7955_64,NP001289160.1_7955_64,,P01023_A2M|Q07954_LRP1,,
G65_63_64,NP035912.2_10090_55,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1593|B1594|B1588|B1601|B1607|B1617|B1603|B1580,
G65_63_64,NP008969.2_9606_56,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1593|B1594|B2029|B1588|B1601|B1607|B1617|B1603|B1580,
G65_63_64,NP001159987.1_9913_58,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1593|B1594|B1588|B1601|B1607|B1617|B1603|B1580,B657
G65_63_64,XP425541.6_9031_60,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1594|B1588|B1601|B1607|B1617|B1603|B1580,B657
G65_63_64,XP002935740.1_8364_62,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1594|B1588|B1601|B1607|B1617|B1603|B1580,
G65_63_64,NP001289160.1_7955_64,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1593|B1594|B1588|B1601|B1607|B1617|B1603|B1580|B686,
G66_54_65,NP008919.3_9606_0,,,,
G66_54_65,NP001094550.1_9913_1,,,,
G66_54_65,NP033751.3_10090_3,,,,
G66_54_65,XP015154663.2_9031_5,,,,B658
G66_54_65,NP001120905.1_8364_7,,,,
G66_54_65,XP021331598.1_7955_9,,,,
G66_54_65,NP005090.3_9606_11,,,,
G66_54_65,NP858053.1_9913_12,,,,
G66_54_65,NP766433.2_10090_14,,,,
G66_54_65,XP015135540.3_9031_16,,,,
G66_54_65,XP004919795.1_8364_18,,,,
G66_54_65,NP038934.2_10090_21,,,,
G66_54_65,NP008968.4_9606_22,,,,
G66_54_65,NP001179254.1_9913_24,,,,
G66_54_65,XP015153616.2_9031_26,,,,
G66_54_65,XP002940685.2_8364_28,,,,
G66_54_65,XP021328605.1_7955_30,,,,B658
G66_54_65,XP001341878.1_7955_31,,,,B658
G66_54_65,XP698107.4_7955_33,,,,
G66_54_65,XP021332165.1_7955_34,,,,
G66_54_65,NP001019310.1_10090_39,,,,B658
G66_54_65,NP620686.1_9606_40,,,,
G66_54_65,NP001179319.1_9913_42,,,,
G66_54_65,XP417874.2_9031_44,,,,
G66_54_65,XP012822382.1_8364_46,,,,
G66_54_65,XP021328606.1_7955_48,,,,B658
G66_54_65,XP001341935.2_7955_49,,,,B658
G66_54_65,NP001119901.1_7955_51,,,,B658
G66_54_65,NP035912.2_10090_55,,,,
G66_54_65,NP008969.2_9606_56,,,,
G66_54_65,NP001159987.1_9913_58,,,,B658
G66_54_65,XP425541.6_9031_60,,,,B658
G66_54_65,XP002935740.1_8364_62,,,,
G66_54_65,NP001289160.1_7955_64,,,,
XP002121984.1_7719_67,XP002121984.1_7719_67,,P16112_ACAN,,
G68_66_67,NP008919.3_9606_0,,,,
G68_66_67,NP001094550.1_9913_1,,,,
G68_66_67,NP033751.3_10090_3,,,,
G68_66_67,XP015154663.2_9031_5,,,,
G68_66_67,NP001120905.1_8364_7,,,,
G68_66_67,XP021331598.1_7955_9,,,,B686
G68_66_67,NP005090.3_9606_11,,,,
G68_66_67,NP858053.1_9913_12,,,,
G68_66_67,NP766433.2_10090_14,,,,
G68_66_67,XP015135540.3_9031_16,,,,
G68_66_67,XP004919795.1_8364_18,,,,
G68_66_67,NP038934.2_10090_21,,,,
G68_66_67,NP008968.4_9606_22,,,,
G68_66_67,NP001179254.1_9913_24,,,,
G68_66_67,XP015153616.2_9031_26,,,,
G68_66_67,XP002940685.2_8364_28,,,,
G68_66_67,XP021328605.1_7955_30,,,,
G68_66_67,XP001341878.1_7955_31,,,,
G68_66_67,XP698107.4_7955_33,,,,
G68_66_67,XP021332165.1_7955_34,,,,
G68_66_67,NP001019310.1_10090_39,,,,
G68_66_67,NP620686.1_9606_40,,,,
G68_66_67,NP001179319.1_9913_42,,,,
G68_66_67,XP417874.2_9031_44,,,,
G68_66_67,XP012822382.1_8364_46,,,,B686
G68_66_67,XP021328606.1_7955_48,,,,
G68_66_67,XP001341935.2_7955_49,,,,
G68_66_67,NP001119901.1_7955_51,,,,
G68_66_67,NP035912.2_10090_55,,,,
G68_66_67,NP008969.2_9606_56,,,,
G68_66_67,NP001159987.1_9913_58,,,,
G68_66_67,XP425541.6_9031_60,,,,
G68_66_67,XP002935740.1_8364_62,,,,
G68_66_67,NP001289160.1_7955_64,,,,B686
G68_66_67,XP002121984.1_7719_67,,,B1848,
NP780523.3_10090_69,NP780523.3_10090_69,,Q5XPI4_RNF123,B561|B563,
NP891550.1_9606_70,NP891550.1_9606_70,P48059_LIMS1|Q01094_E2F1|Q8WZA2_RAPGEF4,,B561|B563,
G71_69_70,NP780523.3_10090_69,Q5XPI4_RNF123,,B522,B561|B563
G71_69_70,NP891550.1_9606_70,Q5XPI4_RNF123,,B522,B561|B563
NP001193502.1_9913_72,NP001193502.1_9913_72,,,B522,
G73_71_72,NP780523.3_10090_69,,,B955|B990|B966|B969|B992,B522
G73_71_72,NP891550.1_9606_70,,,B955|B1885|B1889|B1877|B1872|B1887|B1882|B990|B1888|B966|B969|B1883|B1884|B992|B1875|B1880|B1873,B522
G73_71_72,NP001193502.1_9913_72,,,B955|B1885|B1889|B1877|B1872|B1887|B1882|B990|B1888|B966|B969|B1883|B1884|B992|B1875|B1880|B1873,B522
XP004944721.3_9031_74,XP004944721.3_9031_74,,P02751_FN1,,
G75_73_74,NP780523.3_10090_69,P02751_FN1,,B974|B976|B973|B963|B983|B993|B978,
G75_73_74,NP891550.1_9606_70,P02751_FN1,,B1734|B976|B963|B983|B993|B978|B1702|B873,
G75_73_74,NP001193502.1_9913_72,P02751_FN1,,B1734|B976|B963|B983|B993|B978|B1702|B873,
G75_73_74,XP004944721.3_9031_74,P02751_FN1,,B1714|B963|B917|B1702|B873|B1708,
NP001361725.1_8364_76,NP001361725.1_8364_76,,,,
G77_75_76,NP780523.3_10090_69,,,B957|B998|B1001,
G77_75_76,NP891550.1_9606_70,,,B957|B1735|B1886|B1001|B1874,
G77_75_76,NP001193502.1_9913_72,,,B957|B1735|B1886|B1001|B1874,
G77_75_76,XP004944721.3_9031_74,,,B957|B998|B1722|B1001|B1721,
G77_75_76,NP001361725.1_8364_76,,,B957|B998|B1312|B1722|B1001|B1721,
NP001244125.1_7955_78,NP001244125.1_7955_78,,P16112_ACAN,,
G79_77_78,NP780523.3_10090_69,,,B964,
G79_77_78,NP891550.1_9606_70,,,B1289|B1288|B1697|B964,
G79_77_78,NP001193502.1_9913_72,,,B1289|B1288|B1697|B964,
G79_77_78,XP004944721.3_9031_74,,,B1725|B964,
G79_77_78,NP001361725.1_8364_76,,,B1725|B1315|B964,
G79_77_78,NP001244125.1_7955_78,,,B1725|B964,
XP011537056.1_9606_80,XP011537056.1_9606_80,P01106_MYC|P51957_NEK4,,B50,
NP001193022.1_9913_81,NP001193022.1_9913_81,,,B50,
G82_80_81,XP011537056.1_9606_80,,,B1871|B1869,B50
G82_80_81,NP001193022.1_9913_81,,,B1289|B1877|B1872|B1871|B1869|B1874|B1875|B1288|B1873|B1697,B50
XP006520926.1_10090_83,XP006520926.1_10090_83,,,,
G84_82_83,XP011537056.1_9606_80,,,B927|B828|B897|B929|B915|B908|B840|B914|B916|B838|B922,
G84_82_83,NP001193022.1_9913_81,,,B927|B828|B839|B929|B840|B838|B922|B928,
G84_82_83,XP006520926.1_10090_83,,,B927|B828|B839|B897|B929|B915|B908|B840|B914|B916|B838|B922|B928,
XP015137930.2_9031_85,XP015137930.2_9031_85,,,,
G86_84_85,XP011537056.1_9606_80,,,B1714|B936|B1708|B818,
G86_84_85,NP001193022.1_9913_81,,,B976|B978|B936|B873|B818,
G86_84_85,XP006520926.1_10090_83,,,B917|B936|B873|B818,
G86_84_85,XP015137930.2_9031_85,,,B1735|B1734|B976|B983|B978|B936|B873|B818,
XP002932868.3_8364_87,XP002932868.3_8364_87,,,,
G88_86_87,XP011537056.1_9606_80,,,,
G88_86_87,NP001193022.1_9913_81,,,,
G88_86_87,XP006520926.1_10090_83,,,,
G88_86_87,XP015137930.2_9031_85,,,,
G88_86_87,XP002932868.3_8364_87,,,B2029|B2027,
XP017210006.1_7955_89,XP017210006.1_7955_89,,,,
G90_88_89,XP011537056.1_9606_80,,P16112_ACAN,,
G90_88_89,NP001193022.1_9913_81,,P16112_ACAN,B871,
G90_88_89,XP006520926.1_10090_83,,P16112_ACAN,B871,
G90_88_89,XP015137930.2_9031_85,,P16112_ACAN,B1738|B871,
G90_88_89,XP002932868.3_8364_87,,P16112_ACAN,,
G90_88_89,XP017210006.1_7955_89,,P16112_ACAN,B871,
G91_79_90,NP780523.3_10090_69,Q07954_LRP1,,B858|B949|B946|B854|B836|B987|B835|B860|B856|B398|B820|B939|B865|B400,
G91_79_90,NP891550.1_9606_70,Q07954_LRP1,,B858|B949|B946|B1283|B854|B836|B835|B860|B856|B398|B820|B1728|B939|B865|B400,
G91_79_90,NP001193502.1_9913_72,Q07954_LRP1,,B858|B949|B946|B1283|B854|B836|B835|B860|B856|B398|B820|B1728|B939|B865|B400,
G91_79_90,XP004944721.3_9031_74,Q07954_LRP1,,B1715|B858|B949|B888|B946|B1707|B854|B836|B835|B860|B856|B889|B1704|B398|B820|B1705|B939|B865|B400,
G91_79_90,NP001361725.1_8364_76,Q07954_LRP1,,B858|B949|B888|B946|B854|B836|B987|B835|B911|B860|B856|B889|B398|B913|B820|B939|B865|B910|B400,
G91_79_90,NP001244125.1_7955_78,Q07954_LRP1,,B858|B1958|B854|B836|B835|B860|B856|B398|B820|B865|B400,
G91_79_90,XP011537056.1_9606_80,Q07954_LRP1,,B858|B949|B888|B946|B854|B836|B987|B835|B860|B856|B889|B398|B820|B939|B865|B910|B400,
G91_79_90,NP001193022.1_9913_81,Q07954_LRP1,,B858|B949|B946|B1283|B854|B836|B835|B860|B856|B398|B820|B1728|B939|B865|B400,
G91_79_90,XP006520926.1_10090_83,Q07954_LRP1,,B858|B949|B888|B946|B854|B836|B835|B911|B860|B856|B889|B398|B913|B820|B939|B865|B910|B400,
