DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Modules number
G59_57_58,55
XP425541.6_9031_60,39
G75_73_74,110
NP001361725.1_8364_76,75
G86_84_85,97
XP002932868.3_8364_87,64
G101_99_100,69
NP001179945.1_9913_102,65
G112_110_111,62
NP766207.2_10090_113,63
NP001352835.1_9606_124,64
XP024853897.1_9913_125,58
NP780710.2_10090_139,81
XP016865394.1_9606_140,76
XP005254194.1_9606_150,82
XP024837785.1_9913_151,62
G8_6_7,46
XP021331598.1_7955_9,45
G17_15_16,33
XP004919795.1_8364_18,32
G27_25_26,42
XP002940685.2_8364_28,40
G32_30_31,46
G35_33_34,47
G43_41_42,55
XP417874.2_9031_44,42
XP021328606.1_7955_48,45
XP001341935.2_7955_49,45
G57_55_56,53
NP001159987.1_9913_58,51
G73_71_72,111
XP004944721.3_9031_74,83
G84_82_83,106
XP015137930.2_9031_85,77
NP001074489.1_10090_99,65
NP922932.2_9606_100,65
NP112219.3_9606_110,61
XP024849927.1_9913_111,50
G6_4_5,45
NP001120905.1_8364_7,42
G15_13_14,40
XP015135540.3_9031_16,30
G25_23_24,47
XP015153616.2_9031_26,41
XP021328605.1_7955_30,46
XP001341878.1_7955_31,46
XP698107.4_7955_33,47
XP021332165.1_7955_34,47
G41_39_40,53
NP001179319.1_9913_42,48
NP035912.2_10090_55,51
NP008969.2_9606_56,51
G71_69_70,110
NP001193502.1_9913_72,104
G82_80_81,112
XP006520926.1_10090_83,88
G4_2_3,53
XP015154663.2_9031_5,42
G13_11_12,41
NP766433.2_10090_14,40
G23_21_22,49
NP001179254.1_9913_24,47
NP001019310.1_10090_39,48
NP620686.1_9606_40,50
NP780523.3_10090_69,83
NP891550.1_9606_70,104
XP011537056.1_9606_80,88
NP001193022.1_9913_81,94
G2_0_1,52
NP033751.3_10090_3,51
NP005090.3_9606_11,41
NP858053.1_9913_12,41
NP038934.2_10090_21,47
NP008968.4_9606_22,48
NP008919.3_9606_0,48
NP001094550.1_9913_1,49
